TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,19-08-2024
Start Time:,20:02:44
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,69
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:02:45
,Date of Minimum:,19-08-2024
,Maximum:,0.001
,Time of Maximum:,20:03:01
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
19-08-2024,20:41:17,0.036
19-08-2024,20:41:18,0.036
19-08-2024,20:41:19,0.035
19-08-2024,20:41:20,0.038
19-08-2024,20:41:21,0.039
19-08-2024,20:41:22,0.039
19-08-2024,20:41:23,0.038
19-08-2024,20:41:24,0.034
19-08-2024,20:41:25,0.035
19-08-2024,20:41:26,0.038
19-08-2024,20:41:27,0.040
19-08-2024,20:41:28,0.037
19-08-2024,20:41:29,0.037
19-08-2024,20:41:30,0.038
19-08-2024,20:41:31,0.037
19-08-2024,20:41:32,0.039
19-08-2024,20:41:33,0.040
19-08-2024,20:41:34,0.041
19-08-2024,20:41:35,0.041
19-08-2024,20:41:36,0.040
19-08-2024,20:41:37,0.037
19-08-2024,20:41:38,0.036
19-08-2024,20:41:39,0.037
19-08-2024,20:41:40,0.037
19-08-2024,20:41:41,0.036
19-08-2024,20:41:42,0.037
19-08-2024,20:41:43,0.037
19-08-2024,20:41:44,0.035
19-08-2024,20:41:45,0.041
19-08-2024,20:41:46,0.044
19-08-2024,20:41:47,0.037
19-08-2024,20:41:48,0.037
19-08-2024,20:41:49,0.038
19-08-2024,20:41:50,0.038
19-08-2024,20:41:51,0.040
19-08-2024,20:41:52,0.043
19-08-2024,20:41:53,0.046
19-08-2024,20:41:54,0.047
19-08-2024,20:41:55,0.048
19-08-2024,20:41:56,0.074
19-08-2024,20:41:57,0.077
19-08-2024,20:41:58,0.048
19-08-2024,20:41:59,0.046
19-08-2024,20:42:00,0.044
19-08-2024,20:42:01,0.041
19-08-2024,20:42:02,0.040
19-08-2024,20:42:03,0.043
19-08-2024,20:42:04,0.047
19-08-2024,20:42:05,0.053
19-08-2024,20:42:06,0.053
19-08-2024,20:42:07,0.054
19-08-2024,20:42:08,0.053
19-08-2024,20:42:09,0.057
19-08-2024,20:42:10,0.062
19-08-2024,20:42:11,0.067
19-08-2024,20:42:12,0.077
19-08-2024,20:42:13,0.080
19-08-2024,20:42:14,0.071
19-08-2024,20:42:15,0.071
19-08-2024,20:42:16,0.080
19-08-2024,20:42:17,0.087
19-08-2024,20:42:18,0.087
19-08-2024,20:42:19,0.088
19-08-2024,20:42:20,0.093
19-08-2024,20:42:21,0.106
19-08-2024,20:42:22,0.111
19-08-2024,20:42:23,0.123
19-08-2024,20:42:24,0.151
19-08-2024,20:42:25,0.214
19-08-2024,20:42:26,0.291
19-08-2024,20:42:27,0.306
19-08-2024,20:42:28,0.265
19-08-2024,20:42:29,0.281
19-08-2024,20:42:30,0.365
19-08-2024,20:42:31,0.424
19-08-2024,20:42:32,0.444
19-08-2024,20:42:33,0.356
19-08-2024,20:42:34,0.286
19-08-2024,20:42:35,0.263
19-08-2024,20:42:36,0.246
19-08-2024,20:42:37,0.278
19-08-2024,20:42:38,0.300
19-08-2024,20:42:39,0.312
19-08-2024,20:42:40,0.304
19-08-2024,20:42:41,0.298
19-08-2024,20:42:42,0.307
19-08-2024,20:42:43,0.318
19-08-2024,20:42:44,0.315
19-08-2024,20:42:45,0.307
19-08-2024,20:42:46,0.311
19-08-2024,20:42:47,0.302
19-08-2024,20:42:48,0.294
19-08-2024,20:42:49,0.285
19-08-2024,20:42:50,0.270
19-08-2024,20:42:51,0.255
19-08-2024,20:42:52,0.250
19-08-2024,20:42:53,0.253
19-08-2024,20:42:54,0.250
19-08-2024,20:42:55,0.227
19-08-2024,20:42:56,0.213
19-08-2024,20:42:57,0.213
19-08-2024,20:42:58,0.207
19-08-2024,20:42:59,0.204
19-08-2024,20:43:00,0.202
19-08-2024,20:43:01,0.198
19-08-2024,20:43:02,0.194
19-08-2024,20:43:03,0.188
19-08-2024,20:43:04,0.191
19-08-2024,20:43:05,0.188
19-08-2024,20:43:06,0.176
19-08-2024,20:43:07,0.178
19-08-2024,20:43:08,0.174
19-08-2024,20:43:09,0.169
19-08-2024,20:43:10,0.161
19-08-2024,20:43:11,0.167
19-08-2024,20:43:12,0.165
19-08-2024,20:43:13,0.163
19-08-2024,20:43:14,0.182
19-08-2024,20:43:15,0.221
19-08-2024,20:43:16,0.236
19-08-2024,20:43:17,0.248
19-08-2024,20:43:18,0.300
19-08-2024,20:43:19,0.345
19-08-2024,20:43:20,0.362
19-08-2024,20:43:21,0.494
19-08-2024,20:43:22,0.654
19-08-2024,20:43:23,0.598
19-08-2024,20:43:24,0.539
19-08-2024,20:43:25,0.574
19-08-2024,20:43:26,0.487
19-08-2024,20:43:27,0.416
19-08-2024,20:43:28,0.372
19-08-2024,20:43:29,0.293
19-08-2024,20:43:30,0.535
19-08-2024,20:43:31,0.864
19-08-2024,20:43:32,0.769
19-08-2024,20:43:33,0.475
19-08-2024,20:43:34,0.384
19-08-2024,20:43:35,0.279
19-08-2024,20:43:36,0.163
19-08-2024,20:43:37,0.095
19-08-2024,20:43:38,0.062
19-08-2024,20:43:39,0.064
19-08-2024,20:43:40,0.061
19-08-2024,20:43:41,0.049
19-08-2024,20:43:42,0.045
19-08-2024,20:43:43,0.044
19-08-2024,20:43:44,0.044
19-08-2024,20:43:45,0.046
19-08-2024,20:43:46,0.050
19-08-2024,20:43:47,0.053
19-08-2024,20:43:48,0.052
19-08-2024,20:43:49,0.059
19-08-2024,20:43:50,0.067
19-08-2024,20:43:51,0.073
19-08-2024,20:43:52,0.076
19-08-2024,20:43:53,0.081
19-08-2024,20:43:54,0.084
19-08-2024,20:43:55,0.080
19-08-2024,20:43:56,0.082
19-08-2024,20:43:57,0.080
19-08-2024,20:43:58,0.081
19-08-2024,20:43:59,0.084
19-08-2024,20:44:00,0.089
19-08-2024,20:44:01,0.099
19-08-2024,20:44:02,0.105
19-08-2024,20:44:03,0.108
19-08-2024,20:44:04,0.115
19-08-2024,20:44:05,0.124
19-08-2024,20:44:06,0.121
19-08-2024,20:44:07,0.115
19-08-2024,20:44:08,0.117
19-08-2024,20:44:09,0.122
19-08-2024,20:44:10,0.132
19-08-2024,20:44:11,0.140
19-08-2024,20:44:12,0.219
19-08-2024,20:44:13,0.303
19-08-2024,20:44:14,0.341
19-08-2024,20:44:15,0.433
19-08-2024,20:44:16,0.379
19-08-2024,20:44:17,0.289
19-08-2024,20:44:18,0.247
