TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,009
Test Abbreviation:,TEST 3 LONCO_009
Start Date:,28-07-2024
Start Time:,00:31:33
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,091
,Minimum:,0,077
,Time of Minimum:,00:34:29
,Date of Minimum:,28-07-2024
,Maximum:,0,104
,Time of Maximum:,00:31:57
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
28-07-2024,20:24:00,0,000
28-07-2024,20:24:01,0,000
28-07-2024,20:24:02,0,000
28-07-2024,20:24:03,0,000
28-07-2024,20:24:04,0,000
28-07-2024,20:24:05,0,000
28-07-2024,20:24:06,0,000
28-07-2024,20:24:07,0,000
28-07-2024,20:24:08,0,000
28-07-2024,20:24:09,0,000
28-07-2024,20:24:10,0,000
28-07-2024,20:24:11,0,000
28-07-2024,20:24:12,0,000
28-07-2024,20:24:13,0,000
28-07-2024,20:24:14,0,000
28-07-2024,20:24:15,0,000
28-07-2024,20:24:16,0,000
28-07-2024,20:24:17,0,000
28-07-2024,20:24:18,0,000
28-07-2024,20:24:19,0,000
28-07-2024,20:24:20,0,000
28-07-2024,20:24:21,0,000
28-07-2024,20:24:22,0,000
28-07-2024,20:24:23,0,000
28-07-2024,20:24:24,0,000
28-07-2024,20:24:25,0,000
28-07-2024,20:24:26,0,000
28-07-2024,20:24:27,0,000
28-07-2024,20:24:28,0,000
28-07-2024,20:24:29,0,000
28-07-2024,20:24:30,0,000
28-07-2024,20:24:31,0,000
28-07-2024,20:24:32,0,000
28-07-2024,20:24:33,0,000
28-07-2024,20:24:34,0,000
28-07-2024,20:24:35,0,000
28-07-2024,20:24:36,0,000
28-07-2024,20:24:37,0,000
28-07-2024,20:24:38,0,000
28-07-2024,20:24:39,0,000
28-07-2024,20:24:40,0,000
28-07-2024,20:24:41,0,000
28-07-2024,20:24:42,0,000
28-07-2024,20:24:43,0,000
28-07-2024,20:24:44,0,000
28-07-2024,20:24:45,0,000
28-07-2024,20:24:46,0,000
28-07-2024,20:24:47,0,000
28-07-2024,20:24:48,0,000
28-07-2024,20:24:49,0,000
28-07-2024,20:24:50,0,000
28-07-2024,20:24:51,0,000
28-07-2024,20:24:52,0,000
28-07-2024,20:24:53,0,000
28-07-2024,20:24:54,0,000
28-07-2024,20:24:55,0,000
28-07-2024,20:24:56,0,000
28-07-2024,20:24:57,0,000
28-07-2024,20:24:58,0,000
28-07-2024,20:24:59,0,000
28-07-2024,20:25:00,0,000
28-07-2024,20:25:01,0,000
28-07-2024,20:25:02,0,000
28-07-2024,20:25:03,0,000
