TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,26-09-2024
Start Time:,20:56:04
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.001
,Time of Minimum:,20:56:06
,Date of Minimum:,26-09-2024
,Maximum:,0.003
,Time of Maximum:,20:56:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
26-09-2024,21:34:17,0.094
26-09-2024,21:34:18,0.135
26-09-2024,21:34:19,0.202
26-09-2024,21:34:20,0.170
26-09-2024,21:34:21,0.151
26-09-2024,21:34:22,0.140
26-09-2024,21:34:23,0.156
26-09-2024,21:34:24,0.159
26-09-2024,21:34:25,0.159
26-09-2024,21:34:26,0.141
26-09-2024,21:34:27,0.123
26-09-2024,21:34:28,0.121
26-09-2024,21:34:29,0.111
26-09-2024,21:34:30,0.096
26-09-2024,21:34:31,0.082
26-09-2024,21:34:32,0.078
26-09-2024,21:34:33,0.081
26-09-2024,21:34:34,0.086
26-09-2024,21:34:35,0.093
26-09-2024,21:34:36,0.089
26-09-2024,21:34:37,0.086
26-09-2024,21:34:38,0.084
26-09-2024,21:34:39,0.078
26-09-2024,21:34:40,0.073
26-09-2024,21:34:41,0.068
26-09-2024,21:34:42,0.068
26-09-2024,21:34:43,0.076
26-09-2024,21:34:44,0.075
26-09-2024,21:34:45,0.071
26-09-2024,21:34:46,0.071
26-09-2024,21:34:47,0.067
26-09-2024,21:34:48,0.066
26-09-2024,21:34:49,0.069
26-09-2024,21:34:50,0.066
26-09-2024,21:34:51,0.068
26-09-2024,21:34:52,0.075
26-09-2024,21:34:53,0.083
26-09-2024,21:34:54,0.085
26-09-2024,21:34:55,0.089
26-09-2024,21:34:56,0.090
26-09-2024,21:34:57,0.089
26-09-2024,21:34:58,0.087
26-09-2024,21:34:59,0.086
26-09-2024,21:35:00,0.089
26-09-2024,21:35:01,0.088
26-09-2024,21:35:02,0.093
26-09-2024,21:35:03,0.091
