FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240902;2100;;52;;
240902;2200;;51;;
240902;2300;;40;;
240903;0000;;34;;
240903;0100;;16;;
240903;0200;;17;;
240903;0300;;14;;
240903;0400;;10;;
240903;0500;;9;;
240903;0600;;12;;
240903;0700;;26;;
240903;0800;;40;;
240903;0900;;17;;
240903;1000;;19;;
240903;1100;;16;;
240903;1200;;18;;
240903;1300;;23;;
240903;1400;;29;;
240903;1500;;24;;
240903;1600;;20;;
240903;1700;;25;;
240903;1800;;23;;
240903;1900;;34;;
240903;2000;;32;;
240903;2100;;29;;
240903;2200;;41;;
240903;2300;;99;;
240904;0000;;67;;
240904;0100;;33;;
240904;0200;;9;;
240904;0300;;10;;
240904;0400;;11;;
240904;0500;;14;;
240904;0600;;15;;
240904;0700;;56;;
240904;0800;;36;;
240904;0900;;8;;
240904;1000;;6;;
240904;1100;;10;;
240904;1200;;7;;
240904;1300;;9;;
240904;1400;;6;;
240904;1500;;5;;
240904;1600;;8;;
240904;1700;;12;;
240904;1800;;53;;
240904;1900;;95;;
240904;2000;;120;;
240904;2100;;221;;
240904;2200;;177;;
240904;2300;;138;;
240905;0000;;57;;
240905;0100;;5;;
240905;0200;;7;;
240905;0300;;12;;
240905;0400;;17;;
240905;0500;;15;;
240905;0600;;20;;
240905;0700;;22;;
240905;0800;;28;;
240905;0900;;19;;
240905;1000;;25;;
240905;1100;;10;;
240905;1200;;9;;
240905;1300;;6;;
240905;1400;;8;;
240905;1500;;10;;
240905;1600;;17;;
240905;1700;;18;;
240905;1800;;18;;
240905;1900;;127;;
240905;2000;;48;;
240905;2100;;29;;
240905;2200;;37;;
240905;2300;;26;;
240906;0000;;21;;
240906;0100;;19;;
240906;0200;;18;;
240906;0300;;10;;
240906;0400;;15;;
240906;0500;;6;;
240906;0600;;20;;
240906;0700;;15;;
240906;0800;;15;;
240906;0900;;25;;
240906;1000;;16;;
240906;1100;;15;;
240906;1200;;12;;
240906;1300;;22;;
240906;1400;;17;;
240906;1500;;17;;
240906;1600;;16;;
240906;1700;;25;;
240906;1800;;28;;
240906;1900;;49;;
240906;2000;;43;;
240906;2100;;63;;
240906;2200;;72;;
240906;2300;;120;;
240907;0000;;124;;
240907;0100;;44;;
240907;0200;;78;;
240907;0300;;53;;
240907;0400;;63;;
240907;0500;;33;;
240907;0600;;28;;
240907;0700;;34;;
240907;0800;;29;;
240907;0900;;4;;
240907;1000;;5;;
240907;1100;;7;;
240907;1200;;6;;
240907;1300;;17;;
240907;1400;;7;;
240907;1500;;12;;
240907;1600;;6;;
240907;1700;;28;;
240907;1800;;89;;
240907;1900;;99;;
240907;2000;;137;;
240907;2100;;87;;
240907;2200;;95;;
240907;2300;;115;;
240908;0000;;208;;
240908;0100;;137;;
240908;0200;;118;;
240908;0300;;71;;
240908;0400;;42;;
240908;0500;;53;;
240908;0600;;39;;
240908;0700;;70;;
240908;0800;;31;;
240908;0900;;9;;
240908;1000;;8;;
240908;1100;;7;;
240908;1200;;5;;
240908;1300;;8;;
240908;1400;;9;;
240908;1500;;12;;
240908;1600;;9;;
240908;1700;;21;;
240908;1800;;44;;
240908;1900;;205;;
240908;2000;;194;;
240908;2100;;216;;
240908;2200;;245;;
240908;2300;;110;;
240909;0000;;106;;
240909;0100;;82;;
240909;0200;;60;;
240909;0300;;39;;
240909;0400;;38;;
240909;0500;;46;;
240909;0600;;109;;
240909;0700;;35;;
240909;0800;;11;;
240909;0900;;8;;
240909;1000;;8;;
240909;1100;;9;;
240909;1200;;12;;
240909;1300;;19;;
240909;1400;;6;;
240909;1500;;14;;
240909;1600;;14;;
240909;1700;;10;;
240909;1800;;8;;
240909;1900;;18;;
240909;2000;;15;;
240909;2100;;22;;
240909;2200;;22;;
240909;2300;;19;;
240910;0000;;10;;
240910;0100;;19;;
240910;0200;;10;;
240910;0300;;9;;
240910;0400;;10;;
240910;0500;;12;;
